"filename", "language", "Python", "Markdown", "pip requirements", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\final_test\images100\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\final_test\images200\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\final_test\images300\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\final_test\images400\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\final_test\images500\annotations.coco.json", "JSON", 0, 0, 0, 544818, 0, 0, 0, 544818
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\hp_raytuning.py", "Python", 92, 0, 0, 0, 0, 23, 47, 162
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\make_matplotlib_graphs.py", "Python", 150, 0, 0, 0, 0, 55, 72, 277
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\make_split_for_final_test.py", "Python", 16, 0, 0, 0, 0, 5, 14, 35
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\mean_image.py", "Python", 51, 0, 0, 0, 0, 8, 22, 81
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\model_def_pl.py", "Python", 153, 0, 0, 0, 0, 34, 109, 296
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\requirements.txt", "pip requirements", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\show_examples.py", "Python", 25, 0, 0, 0, 0, 7, 27, 59
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\split_data.py", "Python", 64, 0, 0, 0, 0, 11, 32, 107
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\test_inference_time.py", "Python", 55, 0, 0, 0, 0, 6, 32, 93
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\train_pl.py", "Python", 49, 0, 0, 0, 0, 33, 31, 113
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\utils.py", "Python", 108, 0, 0, 0, 0, 84, 87, 279
"Total", "-", 1757, 151, 8, 6837405, 176, 542, 1003, 6841042
